model,dataset,label,count,num_valid,num_errors,num_no_pred_mask,mean_dice,mean_iou,no_pred_rate
MedSAM3-LoRA,SegRap2023,optic_nerve_left,36,36,0,1,3.234996001517875e-05,1.6179134441427123e-05,0.027777777777777776
MedSAM3-LoRA,SegRap2023,optic_nerve_right,29,29,0,4,5.671227140697022e-05,2.8370070178487273e-05,0.13793103448275862
MedSAM3-LoRA,SegRap2023,optic_chiasm,24,24,0,0,0.016296617051262122,0.008275276635509565,0.0
MedSAM3-LoRA,SegRap2023,lens_left,37,37,0,2,2.8181985169230306e-05,1.4098342991537471e-05,0.05405405405405406
MedSAM3-LoRA,SegRap2023,hippocampus_left,56,56,0,6,0.003243296116364492,0.00162670358889859,0.10714285714285714
SAM3,AMOS2022,aorta,282,282,0,3,0.8510048855210297,0.7796334491346455,0.010638297872340425
SAM3,AMOS2022,inferior_vena_cava,214,214,0,94,0.4468557594131379,0.38966482113980266,0.4392523364485981
SAM3,AMOS2022,duodenum,149,149,0,83,0.28049610837553446,0.22396452887685736,0.5570469798657718
SAM3,AMOS2022,kidney_right,168,168,0,120,0.27042515012242063,0.25714930511390355,0.7142857142857143
SAM3,AMOS2022,kidney_left,159,159,0,159,0.0,0.0,1.0
SAM3,AMOS2022,liver,383,383,0,11,0.9200864153498244,0.8783804097446761,0.028720626631853787
SAM3,AMOS2022,pancreas,168,168,0,55,0.5372266761635113,0.4603985614681121,0.3273809523809524
SAM3,AMOS2022,spleen,224,224,0,24,0.8495836186309387,0.8174627615471357,0.10714285714285714
SAM3,AMOS2022,stomach,259,259,0,33,0.7791121530317434,0.716096315061742,0.1274131274131274
SAM3,AMOS2022,adrenal_gland_left,88,88,0,88,0.0,0.0,1.0
SAM3,AMOS2022,gallbladder,92,92,0,30,0.602603985692301,0.5564190860354238,0.32608695652173914
SAM3,AMOS2022,adrenal_gland_right,72,72,0,72,0.0,0.0,1.0
SAM3,AMOS2022,esophagus,94,94,0,83,0.08984872953248633,0.07473086437634617,0.8829787234042553
SAM3,BraTS,necrotic_tumor_core,417,417,0,417,0.0,0.0,1.0
SAM3,BraTS,peritumoral_edema,649,649,0,234,0.5185535221983034,0.44920671206464585,0.3605546995377504
SAM3,BraTS,enhancing_tumor,386,386,0,186,0.4039514517966219,0.34122043243765715,0.48186528497409326
SAM3,CHAOS,kidney_right,27,27,0,22,0.17615431356654884,0.16803802827701292,0.8148148148148148
SAM3,CHAOS,kidney_left,26,26,0,26,0.0,0.0,1.0
SAM3,CHAOS,liver,43,43,0,0,0.9265295912296905,0.8702598349223172,0.0
SAM3,CHAOS,spleen,24,24,0,1,0.9188742278133102,0.883279801576624,0.041666666666666664
SAM3,CMRxMotions,heart_ventricle_left,110,110,0,9,0.8228193786976944,0.7595379977348332,0.08181818181818182
SAM3,CMRxMotions,heart_myocardium,110,110,0,2,0.7838171500892601,0.6672211762314012,0.01818181818181818
SAM3,CMRxMotions,heart_ventricle_right,86,86,0,12,0.5308984244551859,0.456407157190563,0.13953488372093023
SAM3,COVID19,lung_left,337,337,0,337,0.0,0.0,1.0
SAM3,COVID19,lung_right,346,346,0,54,0.8218526750196805,0.8058141016634852,0.15606936416184972
SAM3,COVID19,lung_infections,148,148,0,20,0.7519962055702472,0.6680585498602518,0.13513513513513514
SAM3,Prostate,prostate_peripheral_zone,36,36,0,24,0.26617886175643324,0.23430889171429867,0.6666666666666666
SAM3,Prostate,prostate_transition_zone,52,52,0,12,0.6084510433247705,0.5446027940707332,0.23076923076923078
SAM3,SegRap2023,esophagus,506,506,0,506,0.0,0.0,1.0
SAM3,SegRap2023,spinal_cord,874,874,0,869,0.0,0.0,0.994279176201373
SAM3,SegRap2023,brain,571,571,0,571,0.0,0.0,1.0
SAM3,SegRap2023,temporal_lobe_left,240,240,0,240,0.0,0.0,1.0
SAM3,SegRap2023,temporal_lobe_right,243,243,0,243,0.0,0.0,1.0
SAM3,SegRap2023,trachea,380,380,0,380,0.0,0.0,1.0
SAM3,SegRap2023,thyroid,196,196,0,196,0.0,0.0,1.0
SAM3,SegRap2023,larynx,256,256,0,256,0.0,0.0,1.0
SAM3,SegRap2023,larynx_glottic,88,88,0,88,0.0,0.0,1.0
SAM3,SegRap2023,larynx_supraglot,102,102,0,102,0.0,0.0,1.0
SAM3,SegRap2023,submandibular_right,152,152,0,152,0.0,0.0,1.0
SAM3,SegRap2023,submandibular_left,157,157,0,157,0.0,0.0,1.0
SAM3,SegRap2023,mandible_left,330,330,0,330,0.0,0.0,1.0
SAM3,SegRap2023,mandible_right,322,322,0,322,0.0,0.0,1.0
SAM3,SegRap2023,oral_cavity,244,244,0,244,0.0,0.0,1.0
SAM3,SegRap2023,parotid_left,252,252,0,252,0.0,0.0,1.0
SAM3,SegRap2023,parotid_right,245,245,0,245,0.0,0.0,1.0
SAM3,SegRap2023,brainstem,258,258,0,168,1.8481272735151888e-05,9.26271947055573e-06,0.6511627906976745
SAM3,SegRap2023,mastoid_right,161,161,0,161,0.0,0.0,1.0
SAM3,SegRap2023,mastoid_left,162,162,0,162,0.0,0.0,1.0
SAM3,SegRap2023,tympanic_cavity_left,46,46,0,46,0.0,0.0,1.0
SAM3,SegRap2023,temporomandibular_joint_right,45,45,0,45,0.0,0.0,1.0
SAM3,SegRap2023,eustachian_tube_left,22,22,0,22,0.0,0.0,1.0
SAM3,SegRap2023,temporomandibular_joint_left,43,43,0,43,0.0,0.0,1.0
SAM3,SegRap2023,tympanic_cavity_right,46,46,0,46,0.0,0.0,1.0
SAM3,SegRap2023,eustachian_tube_right,23,23,0,23,0.0,0.0,1.0
SAM3,SegRap2023,middleear_left,33,33,0,33,0.0,0.0,1.0
SAM3,SegRap2023,middleear_right,32,32,0,32,0.0,0.0,1.0
SAM3,SegRap2023,vestibular_semicircular_canal_left,25,25,0,25,0.0,0.0,1.0
SAM3,SegRap2023,vestibular_semicircular_canal_right,25,25,0,25,0.0,0.0,1.0
SAM3,SegRap2023,eye_right,117,117,0,117,0.0,0.0,1.0
SAM3,SegRap2023,eye_left,114,114,0,111,0.0,0.0,0.9736842105263158
SAM3,SegRap2023,pituitary,23,23,0,23,0.0,0.0,1.0
SAM3,SegRap2023,hippocampus_right,64,64,0,64,0.0,0.0,1.0
SAM3,SegRap2023,lens_right,37,37,0,37,0.0,0.0,1.0
SAM3,SegRap2023,optic_nerve_left,36,36,0,36,0.0,0.0,1.0
SAM3,SegRap2023,optic_nerve_right,29,29,0,29,0.0,0.0,1.0
SAM3,SegRap2023,optic_chiasm,24,24,0,24,0.0,0.0,1.0
SAM3,SegRap2023,lens_left,37,37,0,35,0.0,0.0,0.9459459459459459
SAM3,SegRap2023,hippocampus_left,56,56,0,56,0.0,0.0,1.0
